name,url,description,tags
*MINECRAFT*,,,,
Spea,https://spea.cc/,PUEDES CREAR UN TOTEM CUSTOM Y UN CUADRO,custom.minecraft.graphics
MaximumFX,https://maximumfx.nl/portal/en/,LINKEAR PORTALES,portals.links
GameGeeks,https://www.gamergeeks.net/apps/minecraft/,VALE PARA TODO,minecraft.tools.utilities
ChunkBase,https://www.chunkbase.com/apps/seed-map,¿QUE TIENE TU MUNDO?,minecraft.seed.map
Minecraft Tools,https://minecraft.tools/es/,ENFOQUE MÁS ESTÉTICO,minecraft.tools
Enchant Order,https://iamcal.github.io/enchant-order/,DEJA DE MALGASTAR EXPERIENCIA,minecraft.enchanting.tools
MapArtCraft,https://rebane2001.com/mapartcraft/,CREA MAPAS CON DIBUJOS,minecraft.maps.art
Minecraft Heads,https://minecraft-heads.com/custom-heads/heads-generator,¿QUIERES CABEZAS? MIRA ESTA WEB,minecraft.heads
Tropical Fish Generator,https://www.gamergeeks.net/apps/minecraft/mob-generator/summon-tropical_fish,CREA TU PROPIO PEZ SIN MODS,minecraft.tools.mobs
Aternos Despedida,https://youtu.be/TSB3WdVxeXc?si=m2-G1c1IVBHfHlDD,ADIÓS ATERNOS.,minecraft.server.video
Plotz,https://www.plotz.co.uk/,¿SABES HACER ESFERAS? YO TAMPOCO.,geometry.tools
Vanilla Tweaks,https://vanillatweaks.net/,TU MINECRAFT. POR TI Y PARA TI.,minecraft.tweaks
Minecraft Crafting,https://www.minecraft-crafting.net/,LOS CRAFTEOS. POR SI ACASO.,minecraft.crafting
Hue Blocks,https://1280px.github.io/hueblocks/,DEGRADADOS PERFECTOS!,design.colors.gradients
NovaSkin Wallpapers,https://wallpapers.novaskin.me/,FONDOS DE PANTALLA CON TUS SKINS.,minecraft.wallpapers
Planet Minecraft Skin Editor,https://www.planetminecraft.com/skin-editor/,EL MEJOR CREADOR DE SKINS DEL MUNDO,minecraft.skins
Blockbench,https://web.blockbench.net/,CREA MODELOS 3D PARA MINECRAFT,minecraft.models.3d
TextCraft,https://textcraft.net,TEXTOS DE MINECRAFT,minecraft.text
*DISCORD*,,,,
Discord Pin Compressor,https://rebane2001.com/discord-pin-compressor/,TODOS LOS MENSAJES FIJADOS EN UNO SOLO.,discord.pins
Discord Colored Text Generator,https://rebane2001.com/discord-colored-text-generator/,TEXTO DE COLORES 🌈,discord.text.colors
Discord Avatar Maker,https://discord-avatar-maker.app/,TU AVATAR DE DISCORD,discord.avatar
Emoji.gg,https://emoji.gg/,¿QUIERES EMOJIS RÁPIDO? ENTRA AQUÍ.,discord.emoji
Discord Mojis,https://discordmojis.com/,LOS EMOJIS MAS MÍTICOS DE DISCORD,discord.emoji
Discadia Emojis,https://discadia.com/emojis/,DESCARGA MUCHOS EMOJIS A LA VEZ,discord.emoji.download
Role Icons Editor,https://www.discotools.xyz/es/icons-editor,CUANDO QUIERAS ICONOS DE ROLES ESTA WEB VENDRÁ A AYUDARTE,discord.roles.icons
Image Clipboard,https://imageclipboard.com/,NO TIENES NITRO? MIRA ESTO,discord.images
Discord Tools,https://discordtools.io/,NO PARECE ÚTIL PERO LO ES.,discord.tools
DSC.gg,https://dsc.gg/,ACORTA ENLACES DE DISCORD,discord.links.shortener
*OTROS*,,,,
8MB Video,https://8mb.video,COMPRIME VIDEOS PARA MANDAR A DISCORD,video.compress.discord
File.io,https://file.io/,ENVÍA ARCHIVOS RÁPIDAMENTE CON HASTA 2GB DE ALMACENAMIENTO,fileshare.storage
Rentry,https://rentry.co,PASTEBIN PERO BIEN | SERVICIO DE MARKDOWN CON URLS CUSTOM,markdown.pastebin.custom
DeepL,https://deepl.com/,EL MEJOR TRADUCTOR DEL MUNDO,translation
TinyWow,https://tinywow.com/,MÁS DE 200 HERRAMIENTAS ONLINE,tools.misc
Opensource Alternative,https://opensourcealternative.to/,ALTERNATIVA A TODO LO DE PAGO,opensource.alternative
Ninite,https://ninite.com/,DESCARGA MUCHOS PROGRAMAS A LA VEZ,software.download
RapTV Meme Generator,https://duckwithsunglasses.com/RapTV/,haz el meme de LEBRON JAMES REPORTEDLY,lebron.james.template.meme
Stacher,https://stacher.io,El mejor programa para descargar audio o vídeo de YouTube: sin límites y sin anuncios,youtube.download.ytdlp
cobalt,https://cobalt.meowing.de,Descarga vídeo o audio de muchísimas redes sociales y plataformas,youtube,x,twitter,vk,twitch,soundcloud
*DESARROLLO WEB*,,,,
SVG Repo,https://www.svgrepo.com/,REPOSITORIO DE SVG,svg.icons
CSS Portal,https://www.cssportal.com,CSS FÁCIL,css.tools
*NINTENDO*,,,,
Repo MarioCube,https://repo.mariocube.com,REPOSITORIO DE MUCHOS ARCHIVOS RELACIONADOS CON NINTENDO,nintendo.repo
MarioMasta64,https://mariomasta64.me,OTRO REPOSITORIO PERO MUCHO MÁS FUNCIONAL,nintendo.repo
*LINUX*,,,,
OS Click,https://os.click/,PERMITE DESCARGAR ISOs DE SISTEMAS OPERATIVOS RÁPIDO,os.download
Free Texture Packer,https://free-tex-packer.com/,GENERAR SPRITESHEETS,sprites.texture
*PIRATAS*,,,,
RVX,https://rvxapp.com/#download/,UNA VERSIÓN DE YOUTUBE PREMIUM GRATIS (ANDROID),youtube.premium.free.gratis.hack.hackeada.android
ReVanced,https://revanced.app/download/,PERMITE APLICARLES PATCHES A APLICACIONES Y CAMBIAR COMO FUNCIONAN (ANDROID),youtube.reddit.premium.free.gratis.hack.hackeada.android



